,listed_price,value,value_description,make_and_model,year,mileage,trim_level,color,location,additional_description,discount,car_URL,thumbnail_URL,make_first,make_second,state,Accident,Past Owners,Usage,is_Excellent_Price,is_Great_Price,is_Fleet_Use,is_Personal_Use
488,9499,Excellent Price,"$1,478 off avg. list price",Toyota Camry,2012,114500,SE V6 Automatic,"Black exterior, Black interior","Sacramento, CA","No accidents, 2 Owners, Fleet use",,https://www.truecar.com/used-cars-for-sale/listing/4T1BK1FK5CU010467/2012-toyota-camry/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Toyota,Camry, CA,0,2, Fleet use,1,0,1,0
489,5995,Excellent Price,,Nissan Rogue,2013,118367,S FWD,"Silver exterior, Black interior","San Marcos, TX","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/JN8AS5MT0DW555358/2013-nissan-rogue/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Nissan,Rogue, TX,0,1, Personal use,1,0,0,1
490,15480,Excellent Price,"$1,767 off avg. list price",Toyota Camry,2019,57551,LE Automatic,"Black exterior, Unknown interior","Raleigh, NC","1 accident, 1 Owner, Personal use",Upfront Price Available,https://www.truecar.com/used-cars-for-sale/listing/4T1B11HK5KU680468/2019-toyota-camry/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Toyota,Camry, NC,1,1, Personal use,1,0,0,1
491,19975,Excellent Price,"$1,911 off avg. list price",Dodge Journey,2019,34885,GT AWD,"Silver exterior, Red interior","Miami, OK","No accidents, 2 Owners, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/3C4PDDEG1KT746057/2019-dodge-journey/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Dodge,Journey, OK,0,2, Personal use,1,0,0,1
492,11999,Excellent Price,"$1,451 off avg. list price",Honda Civic,2018,70312,LX Sedan CVT,"Black exterior, Black interior","Lakewood, NJ","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/2HGFC2F54JH512522/2018-honda-civic/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Honda,Civic, NJ,0,1, Personal use,1,0,0,1
493,14980,Excellent Price,"$1,513 off avg. list price",Hyundai Elantra,2018,27297,Value Edition 2.0L Sedan Automatic,"Silver exterior, Gray interior","Greenwood, IN","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/5NPD84LFXJH265062/2018-hyundai-elantra/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Hyundai,Elantra, IN,0,1, Personal use,1,0,0,1
494,8995,Excellent Price,"$1,459 off avg. list price",Honda Civic,2012,91375,LX Sedan Automatic,"Unknown exterior, Unknown interior","Chandler, AZ","No accidents, 3 Owners, Fleet use",,https://www.truecar.com/used-cars-for-sale/listing/19XFB2F55CE347760/2012-honda-civic/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Honda,Civic, AZ,0,3, Fleet use,1,0,1,0
495,6995,Excellent Price,"$1,126 off avg. list price",Honda Civic,2012,100508,LX Coupe Automatic,"Silver exterior, Gray interior","Peachtree Corners, GA","No accidents, 2 Owners, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/2HGFG3B53CH554439/2012-honda-civic/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Honda,Civic, GA,0,2, Personal use,1,0,0,1
496,11364,Excellent Price,"$1,325 off avg. list price",Nissan Altima,2016,57648,2.5 S,"Silver exterior, Black interior","Glendale, WI","No accidents, 2 Owners, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/1N4AL3AP3GC226248/2016-nissan-altima/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Nissan,Altima, WI,0,2, Personal use,1,0,0,1
497,7999,Excellent Price,"$1,099 off avg. list price",Nissan Altima,2014,88242,2.5 S,"White exterior, Black interior","Norwood, MA","No accidents, 2 Owners, Personal use",Discount Available,https://www.truecar.com/used-cars-for-sale/listing/1N4AL3APXEN374866/2014-nissan-altima/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Nissan,Altima, MA,0,2, Personal use,1,0,0,1
